bs,method,average_kernel
64,0,137.861234
128,0,136.893922
256,0,131.424207
512,0,131.296391
1024,0,131.627215
64,1,101.050215
128,1,102.618523
256,1,101.896371
512,1,99.317188
1024,1,102.244160
64,2,0.277940
128,2,0.272976
256,2,0.272059
512,2,0.273096
1024,2,0.309513
64,3,16.194775
128,3,16.176143
256,3,16.169433
512,3,16.273573
1024,3,16.605339
64,4,10.396770
128,4,10.347163
256,4,10.197403
512,4,10.238039
1024,4,10.491273
64,5,0.630869
128,5,0.554261
256,5,0.567941
512,5,0.598454
1024,5,0.881083
64,6,36.583643
128,6,22.768387
256,6,18.275318
512,6,36.924439
1024,6,109.716418
64,7,10.294900
128,7,6.487747
256,7,5.785036
512,7,7.694930
1024,7,25.914665
64,8,0.807336
128,8,0.810309
256,8,1.365531
512,8,1.957785
1024,8,4.979473
